Date,Open,High,Low,Close,Adj Close,Volume
2002-04-30,3350.000000,3420.000000,3295.899902,3373.600098,3373.600098,0
2002-05-31,3373.600098,3388.199951,3174.000000,3216.000000,3216.000000,0
2002-06-30,3216.000000,3259.000000,2982.100098,3086.199951,3086.199951,0
2002-07-31,3086.199951,3202.899902,2955.699951,3120.100098,3120.100098,0
2002-08-31,3122.300049,3156.699951,2953.199951,2970.899902,2970.899902,0
2002-09-30,2970.899902,3043.000000,2883.500000,3042.899902,3042.899902,0
2002-10-31,3042.899902,3079.699951,2950.699951,3061.399902,3061.399902,0
2002-11-30,3061.399902,3083.800049,2945.899902,3007.100098,3007.100098,0
2002-12-31,3007.100098,3094.100098,2929.100098,2956.899902,2956.899902,0
2003-01-31,2958.100098,2969.199951,2794.399902,2800.899902,2800.899902,0
2003-02-28,2800.899902,2911.899902,2693.300049,2885.199951,2885.199951,0
2003-03-31,2885.199951,3023.699951,2865.899902,3007.500000,3007.500000,0
2003-04-30,3007.500000,3026.100098,2917.899902,3011.000000,3011.000000,0
2003-05-31,3011.000000,3124.600098,3011.000000,3026.899902,3026.899902,0
2003-06-30,3026.899902,3131.800049,3003.800049,3122.300049,3122.300049,0
2003-07-31,3128.000000,3210.699951,3120.100098,3199.699951,3199.699951,0
2003-08-31,3203.800049,3247.399902,3157.500000,3169.500000,3169.500000,0
2003-09-30,3168.000000,3311.800049,3153.000000,3272.000000,3272.000000,0
2003-10-31,3270.899902,3276.300049,3158.800049,3186.399902,3186.399902,0
2003-11-30,3184.699951,3302.000000,3162.500000,3299.800049,3299.800049,0
2003-12-31,3298.899902,3346.199951,3258.300049,3272.000000,3272.000000,0
2004-01-31,3273.199951,3360.899902,3252.899902,3360.600098,3360.600098,0
2004-02-29,3364.800049,3456.100098,3364.600098,3415.300049,3415.300049,0
2004-03-31,3418.699951,3469.199951,3378.600098,3400.800049,3400.800049,0
2004-04-30,3399.000000,3467.600098,3341.000000,3460.199951,3460.199951,0
2004-05-31,3459.300049,3556.399902,3453.600098,3532.899902,3532.899902,0
2004-06-30,3533.000000,3568.699951,3478.199951,3536.100098,3536.100098,0
2004-07-31,3534.399902,3568.699951,3467.100098,3552.699951,3552.699951,0
2004-08-31,3554.000000,3673.100098,3554.000000,3665.000000,3665.000000,0
2004-09-30,3665.100098,3779.500000,3654.600098,3778.600098,3778.600098,0
2004-10-31,3781.000000,3943.600098,3777.899902,3931.300049,3931.300049,0
2004-11-30,3932.199951,4055.000000,3877.100098,4050.600098,4050.600098,0
2004-12-31,4052.800049,4121.000000,4026.100098,4107.299805,4107.299805,0
2005-01-31,4113.700195,4195.600098,4096.899902,4172.799805,4172.799805,0
2005-02-28,4173.200195,4266.899902,4059.500000,4109.799805,4109.799805,0
2005-03-31,4118.899902,4165.500000,3958.300049,3983.199951,3983.199951,0
2005-04-30,3991.000000,4142.500000,3926.600098,4106.399902,4106.399902,0
