Date,Open,High,Low,Close,Adj Close,Volume
3/01/1999,23.443001,23.443001,22.7766,22.7766,4.994967,1050290
4/01/1999,23.1446,23.1446,22.7766,22.786501,4.997138,1763573
5/01/1999,23.075001,23.075001,22.9258,22.9706,5.03751,1385310
6/01/1999,23.7712,23.7712,23.114799,23.5723,5.169466,2657203
7/01/1999,23.393299,23.393299,22.9755,23.075001,5.060406,929049
10/01/1999,23.224199,23.224199,22.7269,22.8323,5.007182,763036
11/01/1999,22.6712,22.6712,22.428499,22.5777,4.951347,878735
12/01/1999,22.428499,22.428499,22.219601,22.245501,4.878495,1347803
13/01/1999,22.159901,22.159901,21.9312,22.0306,4.831367,1034307
14/01/1999,22.478201,22.478201,21.782,22.4335,4.919725,1230629
17/01/1999,22.7766,22.7766,22.4872,22.7269,4.984068,984561
18/01/1999,23.075001,23.075001,22.7756,22.9755,5.038586,869673
19/01/1999,22.9258,22.9258,22.587601,22.7269,4.984068,1667558
20/01/1999,22.7766,22.7766,22.567699,22.627399,4.962246,1217624
21/01/1999,22.5777,22.5777,22.2395,22.5777,4.951347,704867
24/01/1999,22.5777,22.5777,22.3787,22.537901,4.942619,691858
26/01/1999,22.965599,22.965599,22.7269,22.9158,5.025494,1463623
27/01/1999,23.472799,23.472799,22.876101,23.4231,5.136744,1572709
28/01/1999,23.9303,23.9303,23.4231,23.7931,5.217887,8360478
31/01/1999,24.1691,24.1691,23.860701,24.019899,5.267625,984708
1/02/1999,24.059601,24.059601,23.7215,23.7404,5.20633,1073161
2/02/1999,23.870701,23.870701,23.592199,23.7911,5.217447,992463
3/02/1999,24.009899,24.009899,23.8209,23.9303,5.247975,925356
4/02/1999,24.119301,24.119301,23.870701,23.969101,5.256485,729585
7/02/1999,24.3381,24.3381,23.9701,24.163099,5.299031,1082172
8/02/1999,24.368,24.368,23.9701,24.368,5.343965,806902
9/02/1999,24.6763,24.6763,23.9701,24.6763,5.411576,1943026
10/02/1999,24.964701,24.964701,24.7658,24.8354,5.446465,3436968
11/02/1999,25.462,25.462,24.944901,25.064199,5.496643,2222105
14/02/1999,25.3328,25.3328,24.924999,25.2432,5.535899,1744243
15/02/1999,24.728001,24.728001,24.5172,24.5739,5.542822,8553774
16/02/1999,24.716101,24.716101,24.5271,24.576799,5.543475,1643009
17/02/1999,24.547001,24.547001,24.368,24.377899,5.498614,1141993
21/02/1999,24.318199,24.318199,24.1591,24.1591,5.449262,818023
22/02/1999,24.5172,24.5172,24.268499,24.4575,5.516569,1120262
23/02/1999,24.855301,24.855301,24.377899,24.7071,5.572865,2202957
24/02/1999,24.696199,24.696199,24.3381,24.358,5.494124,4760021
25/02/1999,24.2188,24.2188,24.019899,24.069599,5.429073,2200539
28/02/1999,24.318199,24.318199,24.1322,24.318199,5.485145,1787298
1/03/1999,24.5172,24.5172,24.228701,24.4177,5.507589,1922373
2/03/1999,24.666401,24.666401,24.4177,24.666401,5.563685,1213795
3/03/1999,24.666401,24.666401,24.4674,24.487301,5.52329,685578
4/03/1999,24.7658,24.7658,24.4277,24.4475,5.514312,826737
7/03/1999,24.805599,24.805599,24.5669,24.745899,5.581618,1272098
8/03/1999,24.8454,24.8454,24.716101,24.726,5.57713,1231360
9/03/1999,25.2134,25.2134,24.755899,25.1637,5.675856,1312224
10/03/1999,25.8102,25.8102,25.193501,25.621201,5.779049,2237594
11/03/1999,26.456699,26.456699,25.8102,25.8599,5.83289,1547884
14/03/1999,26.510401,26.510401,25.7505,26.510401,5.979615,2428399
15/03/1999,26.506399,26.506399,25.621201,25.6411,5.783537,1826840
16/03/1999,25.760401,25.760401,25.3825,25.6311,5.781282,1859547
17/03/1999,25.849899,25.849899,25.653,25.84,5.828402,903397
18/03/1999,26.0091,26.0091,25.710699,25.789301,5.816965,929654
21/03/1999,26.128401,26.128401,25.5714,26.128401,5.893452,741090
22/03/1999,26.6059,26.6059,26.1583,26.506399,5.978711,1780915
23/03/1999,26.3771,26.3771,25.9594,26.010099,5.866766,1704325
24/03/1999,26.2577,26.2577,26.027,26.027,5.870579,1745556
25/03/1999,26.396999,26.396999,26.0588,26.109501,5.88919,3904376
29/03/1999,26.297501,26.297501,26.018999,26.018999,5.868775,662905
30/03/1999,26.2577,26.2577,25.9594,26.1583,5.900196,2439236
31/03/1999,26.1583,26.1583,25.680901,25.7495,5.807988,1604779
1/04/1999,26.0389,26.0389,25.650999,25.9991,5.864286,558669
6/04/1999,26.8545,26.8545,26.2766,26.7749,6.039273,1718638
7/04/1999,26.9042,26.9042,26.556101,26.7451,6.032554,2453194
8/04/1999,27.2722,27.2722,26.874399,27.2285,6.141586,5498845
9/04/1999,27.2026,27.2026,26.9937,26.9937,6.088626,1230018
12/04/1999,26.8943,26.8943,26.705299,26.8048,6.046019,1157589
13/04/1999,27.192699,27.192699,26.954,27.1917,6.133287,981828
14/04/1999,27.500999,27.500999,26.924101,27.500999,6.203053,1724817
15/04/1999,27.948601,27.948601,27.292101,27.8988,6.292778,1387154
16/04/1999,27.8988,27.8988,27.6999,27.749599,6.259123,1428118
19/04/1999,28.247,28.247,27.550699,28.147499,6.348875,1321122
20/04/1999,28.5453,28.5453,27.6502,28.346399,6.393738,2420592
21/04/1999,28.4459,28.4459,27.829201,27.963499,6.307372,1426567
22/04/1999,28.5453,28.5453,28.097799,28.538401,6.437044,687401
23/04/1999,28.607,28.607,28.247,28.247,6.371317,1079317
26/04/1999,28.2967,28.2967,28.0679,28.247,6.371317,348974
27/04/1999,28.240999,28.240999,27.8491,27.948601,6.304011,1314042
28/04/1999,28.048,28.048,27.729799,27.7994,6.270359,1231238
29/04/1999,27.8988,27.8988,27.6502,27.7994,6.270359,1378511
30/04/1999,28.097799,28.097799,27.351801,27.366699,6.172759,5166003
3/05/1999,27.236401,27.236401,26.7749,26.897301,6.066883,1346027
4/05/1999,27.134001,27.134001,26.208,26.456699,5.967501,1812360
5/05/1999,26.3482,26.3482,25.710699,25.8102,5.82168,1462398
6/05/1999,25.8599,25.8599,25.064199,25.411301,5.731704,3397842
7/05/1999,25.098,25.098,24.358,24.755899,5.583876,3448270
10/05/1999,25.8102,25.8102,25.064199,25.285999,5.703442,1340375
11/05/1999,25.5555,25.5555,24.915001,25.3626,5.720718,1485404
12/05/1999,25.4123,25.4123,24.964701,25.046301,5.649374,854039
13/05/1999,25.2631,25.2631,24.8155,24.9767,5.633678,1903686
14/05/1999,25.601299,25.601299,25.2134,25.511801,5.754373,1129413
17/05/1999,24.8155,24.8155,24.4674,24.5669,5.541245,1285441
18/05/1999,24.7658,24.7658,24.2983,24.5172,5.530033,1183424
19/05/1999,24.7658,24.7658,24.407801,24.4674,5.518802,1336071
20/05/1999,24.8752,24.8752,24.318199,24.368,5.49638,1054493
21/05/1999,24.5172,24.5172,23.9303,24.5172,5.530033,1652802
24/05/1999,24.7658,24.7658,24.1691,24.3759,5.498161,1079429
25/05/1999,24.268499,24.268499,23.900499,23.995001,5.412247,1760008
26/05/1999,24.387899,24.387899,23.870701,24.318199,5.485145,1364816
27/05/1999,24.666401,24.666401,24.268499,24.5868,5.545733,1691686
28/05/1999,24.5172,24.5172,24.069599,24.497299,5.525544,3808822
31/05/1999,25.064199,25.064199,24.535101,25.0145,5.642203,1071127
1/06/1999,25.660999,25.660999,24.964701,25.5068,5.753245,1438648
2/06/1999,25.3626,25.3626,25.0145,25.143801,5.671368,1107246
3/06/1999,25.2134,25.2134,24.8155,25.034401,5.646691,907133
4/06/1999,25.064199,25.064199,24.726,24.726,5.57713,1152431
7/06/1999,25.123899,25.123899,24.8255,25.123899,5.666879,628882
8/06/1999,25.283001,25.283001,24.885201,25.084101,5.657901,722334
9/06/1999,25.285999,25.285999,24.8155,25.285999,5.703442,1421691
10/06/1999,25.342699,25.342699,24.9846,24.9956,5.637942,1129586
11/06/1999,24.8424,24.8424,23.9701,24.069599,5.429073,2402934
15/06/1999,24.069599,24.069599,23.7712,23.8209,5.372978,1575092
16/06/1999,23.9701,23.9701,23.7215,23.9104,5.393166,1371000
17/06/1999,24.964701,24.964701,24.368,24.8155,5.597316,2434587
18/06/1999,25.3626,25.3626,24.7658,24.881201,5.612135,1354000
21/06/1999,25.064199,25.064199,24.7658,24.865299,5.608551,2424538
22/06/1999,24.7897,24.7897,24.5669,24.666401,5.563685,2352217
23/06/1999,24.666401,24.666401,24.3978,24.4744,5.52038,2146022
24/06/1999,24.437599,24.437599,24.2188,24.268499,5.473938,3659426
25/06/1999,24.1889,24.1889,24.009899,24.119301,5.440285,3049258
28/06/1999,24.4774,24.4774,24.1691,24.348101,5.491892,1128008
29/06/1999,24.636499,24.636499,23.870701,24.1094,5.43805,2682756
30/06/1999,24.268499,24.268499,23.7911,23.920401,5.395422,2780943
1/07/1999,24.5669,24.5669,23.8906,23.900499,5.390933,2501866
2/07/1999,24.2188,24.2188,23.995001,24.1492,5.44703,2873361
5/07/1999,24.5172,24.5172,24.1889,24.387899,5.50087,1752868
6/07/1999,24.4177,24.4177,24.069599,24.0994,5.435795,2591177
7/07/1999,24.019899,24.019899,23.7712,23.825899,5.374106,3147028
8/07/1999,24.019899,24.019899,23.701599,23.7215,5.350559,2418976
9/07/1999,23.7215,23.7215,23.3734,23.4132,5.281019,2194494
12/07/1999,23.870701,23.870701,23.5723,23.8209,5.372978,1882782
13/07/1999,24.358,24.358,24.0308,24.2188,5.462728,2727959
14/07/1999,24.318199,24.318199,24.069599,24.0765,5.43063,1661135
15/07/1999,24.2188,24.2188,23.875601,23.99,5.41112,1602632
16/07/1999,24.1691,24.1691,23.980101,24,5.413374,1339583
19/07/1999,24.437599,24.437599,24.0994,24.2785,5.476192,1003249
20/07/1999,24.855301,24.855301,24.268499,24.8155,5.597316,1755856
21/07/1999,25.0145,25.0145,24.5271,24.955799,5.628964,934158
