Date,MSFT,KO,XOM,IBM,CVX,AAPL,UTX,PG,CAT,WBA,BA,PFE,JNJ,MMM,MRK,DIS,MCD,JPM,WMT,NKE,AXP,INTC,TRV,VZ,HD,C,CSCO,GS,V,UNH
20150126,385659932.85,188344859,388560381.04,154743237.6,205829365.12,658778998.8,108259387.5,242055820.02,52082475.97,82663779.84,95582532.2293,206661549.6,286236988.6,104463215.9604,179091841.86,161041673.67,88240406.68,212216989.53,285671329.7,65898678.85,86188594.1,170002140,35482998,194871039.04,140164079.72,148111668.32,142842790,78581209.32,126595759.29,107122273.51
20150127,349973468.1,185672990.07,385130412.55,152081052.2,204657302.24,635712996.72,108633167.28,233706272.31,48341110.15,81671901.68,94448966.4,205401418.2,285761139.9,104075225.2,178350614.88,159345962.67,87169882.28,210086221.8,282125820.7,64633369.5,85257384.8,162310380,35144970,192339707.4,138582687.32,146354565.28,137378300,76869517.89546,123861813.00493,105586607.91
20150128,337913904.15,183614336.96,372426825.55,149982973,196055873.04,671651691.88,106591053.36,230085432.85,48437973.99,80407529.52,99553545.2,201305991.15,284053682.8,104272397.6,175186145.85,157141538.37,86401051.12,204665847.75,279837355.8,63819467.81,84564151.21,160363700,34657812,191094790.2,138029199.98,142719179.68,136893135,75371235.3,121576935.48,104098931.86
20150129,344641007.85,184402757.3,370860049.82,153872336.8,194713672,692562537.2,106162574.1,231490534.73,48431920,81279510.32,105356795.4,200549912.31,286572881.8,105665325.2,177010704.57,158074179.42,90770737.08,208104981.63,282738226.8,64886431.37,84843514,162429080,34644556,191343773.64,141824541.74,144264218.56,139012540,76651744.89546,122386264,104991537.49
20150130,331432914,180329252.21,370182525.18,151930210,193825172.72,682427475.68,104640105.24,227625987.9,48413758.03,80385730,103638634.1,196895531.25,280302875.4,103229292,171850624.44,154174926,89962977.76,203282717.82,273906686.2,63318647.25,82545870,156873920,34074548,189683884.04,137607495.34,142234461.6,134646055,75092485.86,125151123.42,101977793.75
20150202,338652244.8,182168899.67,379329107.82,153268060,200498369.44,690989855.24,106281089.64,229867411.2,48940455.16,81628302.64,104273134.6707,199415794.05,282234261.3,104577696.8,173561148.24,155819051.75,90031102.04,207357343.83,276259614.9,63092141.52,84018990,159770200,34657812,194954033.52,137620673.61,144567167.36,137020810,76433971.89546,125362237.08,102975976.39
20150203,341277456,182344104.19,390635300.25,157043770,207058140.72,691106350.2,108387019.62,232108834.5,50805084.08,81519305.04,105043106.2,201747037.14,286796810.6,105544477.6,173960270.46,159497147.5,91403319.68,212030080.08,277806746.1,64073666.35,85655790,160007600,35141656,198481298.92,141323767.48,148081373.44,138501840,78502815.39546,127547022.88962,103475067.71
20150204,343246364.4,182563109.84,387290022.34,155547369.91,204827440.4,696406870.88,107384195.82,231676752.9,49612448.05,81388507.92,104957554.6,202062069.99,283717789.6,104825752.4,168344050.65,171667068,91529836.2,210759095.82,279289413.5,63517697.74,85533030,159532800,35370322,198356807.2,142865625.07,146627219.2,136305830,77866913.88,130050929.08962,103580644.72
20150205,348250673.25,183044922.27,391101098.44,156488810,206642247.44,698620275.12,109499242.38,234134217,50593194.43,81519305.04,105941405.1293,207858674.43,286796810.6,105932462,168686155.41,173972234,91812065.36,212216989.53,281320023.2,64066802.54,86678790,161147120,35595674,198605790.64,143629964.73,147051347.52,139216820,78733650.42,133443466.69038,104444456.62
20150206,347922521.85,181555683.85,387459403.5,155309520,207209374.64,692737279.64,109225744.98,231190661.1,50375250.79,83001672.4,105513640,208992792.69,282990021,105627169.1604,167602823.67,172921349.5,91471443.96,216403761.21,281481182.7,63002911.99,86965230,157685120,35526080,204705884.92,143695856.08,148869040.32,139114680,79892198.42454,131293062.94962,103273511.6
