Date,Adj Close
4/01/1988,243.399994
11/01/1988,252.050003
18/01/1988,246.5
25/01/1988,257.070007
1/02/1988,250.960007
8/02/1988,257.630005
15/02/1988,261.609985
22/02/1988,262.459991
29/02/1988,267.299988
7/03/1988,264.940002
14/03/1988,271.119995
21/03/1988,258.51001
28/03/1988,258.890015
4/04/1988,269.429993
11/04/1988,259.769989
18/04/1988,260.140015
25/04/1988,261.329987
2/05/1988,257.480011
9/05/1988,256.779999
16/05/1988,253.020004
23/05/1988,253.419998
30/05/1988,266.450012
6/06/1988,271.26001
13/06/1988,270.679993
20/06/1988,273.779999
27/06/1988,271.779999
4/07/1988,270.019989
11/07/1988,272.049988
18/07/1988,263.5
25/07/1988,272.019989
1/08/1988,271.149994
8/08/1988,262.549988
15/08/1988,260.23999
22/08/1988,259.679993
29/08/1988,264.480011
5/09/1988,266.839996
12/09/1988,270.649994
19/09/1988,269.76001
26/09/1988,271.910004
3/10/1988,278.070007
10/10/1988,275.5
17/10/1988,283.660004
24/10/1988,278.529999
31/10/1988,276.309998
7/11/1988,267.920013
14/11/1988,266.470001
21/11/1988,267.230011
28/11/1988,271.809998
5/12/1988,277.029999
12/12/1988,276.290009
19/12/1988,277.869995
26/12/1988,277.720001
2/01/1989,280.670013
9/01/1989,283.869995
16/01/1989,286.630005
23/01/1989,293.820007
30/01/1989,296.970001
6/02/1989,292.019989
13/02/1989,296.76001
20/02/1989,287.130005
27/02/1989,291.179993
6/03/1989,292.880005
13/03/1989,292.690002
20/03/1989,288.980011
27/03/1989,294.869995
3/04/1989,297.160004
10/04/1989,301.359985
17/04/1989,309.609985
24/04/1989,309.640015
1/05/1989,307.609985
8/05/1989,313.839996
15/05/1989,321.23999
22/05/1989,321.589996
29/05/1989,325.519989
5/06/1989,326.690002
12/06/1989,321.350006
19/06/1989,328
26/06/1989,317.980011
3/07/1989,324.910004
10/07/1989,331.839996
17/07/1989,335.899994
24/07/1989,342.149994
31/07/1989,343.920013
7/08/1989,344.73999
14/08/1989,346.029999
21/08/1989,350.519989
28/08/1989,353.730011
4/09/1989,348.76001
11/09/1989,345.059998
18/09/1989,347.049988
25/09/1989,349.149994
2/10/1989,358.779999
9/10/1989,333.649994
16/10/1989,347.160004
23/10/1989,335.059998
30/10/1989,337.619995
6/11/1989,339.100006
13/11/1989,341.609985
20/11/1989,343.970001
27/11/1989,350.630005
4/12/1989,348.690002
11/12/1989,350.140015
18/12/1989,347.420013
25/12/1989,353.399994
1/01/1990,352.200012
8/01/1990,339.929993
15/01/1990,339.149994
22/01/1990,325.799988
29/01/1990,330.920013
5/02/1990,333.619995
12/02/1990,332.720001
19/02/1990,324.149994
26/02/1990,335.540009
5/03/1990,337.929993
12/03/1990,341.910004
19/03/1990,337.220001
26/03/1990,339.940002
2/04/1990,340.079987
9/04/1990,344.339996
16/04/1990,335.119995
23/04/1990,329.109985
30/04/1990,338.390015
7/05/1990,352
14/05/1990,354.640015
21/05/1990,354.579987
28/05/1990,363.160004
4/06/1990,358.709991
11/06/1990,362.910004
18/06/1990,355.429993
25/06/1990,358.019989
2/07/1990,358.420013
9/07/1990,367.309998
16/07/1990,361.609985
23/07/1990,353.440002
30/07/1990,344.859985
6/08/1990,335.519989
13/08/1990,327.829987
20/08/1990,311.51001
27/08/1990,322.559998
3/09/1990,323.399994
10/09/1990,316.829987
17/09/1990,311.320007
24/09/1990,306.049988
1/10/1990,311.5
8/10/1990,300.029999
15/10/1990,312.480011
22/10/1990,304.709991
29/10/1990,311.850006
5/11/1990,313.73999
12/11/1990,317.119995
19/11/1990,315.100006
26/11/1990,322.220001
3/12/1990,327.75
10/12/1990,326.820007
17/12/1990,331.75
24/12/1990,328.720001
31/12/1990,321
7/01/1991,315.230011
14/01/1991,332.230011
21/01/1991,336.070007
28/01/1991,343.049988
4/02/1991,359.350006
11/02/1991,369.059998
18/02/1991,365.649994
25/02/1991,370.470001
4/03/1991,374.950012
11/03/1991,373.589996
18/03/1991,367.480011
25/03/1991,375.220001
1/04/1991,375.359985
8/04/1991,380.399994
15/04/1991,384.200012
22/04/1991,379.019989
29/04/1991,380.799988
6/05/1991,375.73999
13/05/1991,372.390015
20/05/1991,377.48999
27/05/1991,389.829987
3/06/1991,379.429993
10/06/1991,382.290009
17/06/1991,377.75
24/06/1991,371.160004
1/07/1991,374.079987
8/07/1991,380.25
15/07/1991,384.220001
22/07/1991,380.929993
29/07/1991,387.179993
5/08/1991,387.119995
12/08/1991,385.579987
19/08/1991,394.170013
26/08/1991,395.429993
2/09/1991,389.100006
9/09/1991,383.589996
16/09/1991,387.920013
23/09/1991,385.899994
30/09/1991,381.25
7/10/1991,381.450012
14/10/1991,392.5
21/10/1991,384.200012
28/10/1991,391.320007
4/11/1991,392.890015
11/11/1991,382.619995
18/11/1991,376.140015
25/11/1991,375.220001
2/12/1991,379.100006
9/12/1991,384.470001
16/12/1991,387.040009
23/12/1991,406.459991
30/12/1991,419.339996
6/01/1992,415.100006
13/01/1992,418.859985
20/01/1992,415.480011
27/01/1992,408.779999
3/02/1992,411.089996
10/02/1992,412.480011
17/02/1992,411.429993
24/02/1992,412.700012
2/03/1992,404.440002
9/03/1992,405.839996
16/03/1992,411.299988
23/03/1992,403.5
30/03/1992,401.549988
6/04/1992,404.290009
13/04/1992,416.040009
20/04/1992,409.019989
27/04/1992,412.529999
4/05/1992,416.049988
11/05/1992,410.089996
18/05/1992,414.019989
25/05/1992,415.350006
1/06/1992,413.480011
8/06/1992,409.76001
15/06/1992,403.670013
22/06/1992,403.450012
29/06/1992,411.769989
6/07/1992,414.619995
13/07/1992,415.619995
20/07/1992,411.600006
27/07/1992,424.209991
3/08/1992,418.880005
10/08/1992,419.910004
17/08/1992,414.850006
24/08/1992,414.839996
31/08/1992,417.079987
7/09/1992,419.579987
14/09/1992,422.929993
21/09/1992,414.350006
28/09/1992,410.470001
5/10/1992,402.660004
12/10/1992,411.730011
19/10/1992,414.100006
26/10/1992,418.679993
2/11/1992,417.579987
9/11/1992,422.429993
16/11/1992,426.649994
23/11/1992,430.160004
30/11/1992,432.059998
7/12/1992,433.730011
14/12/1992,441.279999
21/12/1992,439.769989
28/12/1992,435.709991
4/01/1993,429.049988
11/01/1993,437.149994
18/01/1993,436.109985
25/01/1993,438.779999
1/02/1993,448.929993
8/02/1993,444.579987
15/02/1993,434.220001
22/02/1993,443.380005
1/03/1993,446.109985
8/03/1993,449.829987
15/03/1993,450.179993
22/03/1993,447.779999
29/03/1993,441.390015
5/04/1993,441.839996
12/04/1993,448.940002
19/04/1993,437.029999
26/04/1993,440.190002
3/05/1993,442.309998
10/05/1993,439.559998
17/05/1993,445.839996
24/05/1993,450.190002
31/05/1993,450.059998
7/06/1993,447.26001
14/06/1993,443.679993
21/06/1993,447.600006
28/06/1993,445.839996
5/07/1993,448.109985
12/07/1993,445.75
19/07/1993,447.100006
26/07/1993,448.130005
2/08/1993,448.679993
9/08/1993,450.140015
16/08/1993,456.160004
23/08/1993,460.540009
30/08/1993,461.339996
6/09/1993,461.720001
13/09/1993,458.829987
20/09/1993,457.630005
27/09/1993,461.279999
4/10/1993,460.309998
11/10/1993,469.5
18/10/1993,463.269989
25/10/1993,467.829987
1/11/1993,459.570007
8/11/1993,465.390015
15/11/1993,462.600006
22/11/1993,463.059998
29/11/1993,464.890015
6/12/1993,463.929993
13/12/1993,466.380005
20/12/1993,467.380005
27/12/1993,466.450012
3/01/1994,469.899994
10/01/1994,474.910004
17/01/1994,474.720001
24/01/1994,478.700012
31/01/1994,469.809998
7/02/1994,470.179993
14/02/1994,467.690002
21/02/1994,466.070007
28/02/1994,464.73999
7/03/1994,466.440002
14/03/1994,471.059998
21/03/1994,460.579987
28/03/1994,445.769989
4/04/1994,447.100006
11/04/1994,446.179993
18/04/1994,447.630005
25/04/1994,450.910004
2/05/1994,447.820007
